Genotype,Sex,Histone,Compare,Name
=='WT',,=='K27ac',Sex,Sex_difference_of_H3K27ac
,=='F',=='K27ac',Genotype,UtxKI_effect_on_H3K27ac_in_female
,=='M',=='K27ac',Genotype,UtxKI_effect_on_H3K27ac_in_male
=='UtxKI',,=='K27ac',Sex,Sex_difference_of_H3K27ac_after_UtxKI
,,=='K27ac',Genotype,UtxKI_effect_on_H3K27ac
=='WT',,=='K27me3',Sex,Sex_difference_of_H3K27me3
,=='F',=='K27me3',Genotype,UtxKI_effect_on_H3K27me3_in_female
,=='M',=='K27me3',Genotype,UtxKI_effect_on_H3K27me3_in_male
=='UtxKI',,=='K27me3',Sex,Sex_difference_of_H3K27me3_after_UtxKI
,,=='K27me3',Genotype,UtxKI_effect_on_H3K27me3
=='WT',,=='K4me1',Sex,Sex_difference_of_H3K4me1
,=='F',=='K4me1',Genotype,UtxKI_effect_on_H3K4me1_in_female
,=='M',=='K4me1',Genotype,UtxKI_effect_on_H3K4me1_in_male
=='UtxKI',,=='K4me1',Sex,Sex_difference_of_H3K4me1_after_UtxKI
,,=='K4me1',Genotype,UtxKI_effect_on_H3K4me1
=='WT',,!='K27me3',Sex,Sex_difference_of_active_enhancer
,=='F',!='K27me3',Genotype,UtxKI_effect_on_active_enhancers_in_female
,=='M',!='K27me3',Genotype,UtxKI_effect_on_active_enhancers_in_male
=='UtxKI',,!='K27me3',Sex,Sex_difference_of_active_enhancers_after_UtxKI
,,!='K27me3',Genotype,UtxKI_effect_on_active_enhancers
=='WT',,!='K27ac',Sex,Sex_difference_of_poised_enhancers
,=='F',!='K27ac',Genotype,UtxKI_effect_on_poised_enhancers_in_female
,=='M',!='K27ac',Genotype,UtxKI_effect_on_poised_enhancers_in_male
=='UtxKI',,!='K27ac',Sex,Sex_difference_of_poised_enhancers_after_UtxKI
,,!='K27ac',Genotype,UtxKI_effect_on_poised_enhancers
